"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
"15204",224676077,20121201,201212,2012,2012.9068,"COP","PRISON",NA,NA,NA,NA,NA,"COP",NA,NA,"OPP","PRISONER",NA,NA,NA,NA,NA,"OPP",NA,NA,0,"020","020","02",1,3,4,1,4,1.76715176715177,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,20130203,""
"15205",224676078,20121201,201212,2012,2012.9068,"COP","PRISON",NA,NA,NA,NA,NA,"COP",NA,NA,"OPP","PRISONER",NA,NA,NA,NA,NA,"OPP",NA,NA,0,"020","020","02",1,3,4,1,4,1.76715176715177,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,1,"Russia","RS","RS",60,100,0,4,"Caucasus, Georgia (general), Georgia","GG","GG00",42.5,45,-2891161,20130203,""
"15206",224676079,20121201,201212,2012,2012.9068,"COP","PRISON",NA,NA,NA,NA,NA,"COP",NA,NA,"OPP","PRISONER",NA,NA,NA,NA,NA,"OPP",NA,NA,0,"020","020","02",1,3,1,1,1,1.76715176715177,2,"Georgia, United States","US","USGA",0,0,0,4,"Ksani, Georgia (general), Georgia","GG","GG00",41.8633,44.5722,-2328116,4,"Ksani, Georgia (general), Georgia","GG","GG00",41.8633,44.5722,-2328116,20130203,""
"15459",224676332,20121201,201212,2012,2012.9068,"COP","POLICE",NA,NA,NA,NA,NA,"COP",NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,1,"043","043","04",1,2.8,8,1,8,0.366300366300366,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,2,"Georgia, United States","US","USGA",35.5376,-96.9247,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"15819",224676692,20121201,201212,2012,2012.9068,"COPGOV","PRISON",NA,NA,NA,NA,NA,"COP","GOV",NA,"COP","PRISON",NA,NA,NA,NA,NA,"COP",NA,NA,0,"140","140","14",3,-6.5,1,1,1,1.76715176715177,4,"Ksani, Georgia (general), Georgia","GG","GG00",41.8633,44.5722,-2328116,4,"Ksani, Georgia (general), Georgia","GG","GG00",41.8633,44.5722,-2328116,4,"Ksani, Georgia (general), Georgia","GG","GG00",41.8633,44.5722,-2328116,20130203,""
"18971",224679844,20121201,201212,2012,2012.9068,"EDU","UNIVERSITY",NA,NA,NA,NA,NA,"EDU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"071","071","07",2,7.4,5,1,5,3,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"21224",224682097,20121201,201212,2012,2012.9068,"EUR","EUROPEAN","EUR",NA,NA,NA,NA,NA,NA,NA,"GOV","ADMINISTRATION",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"046","046","04",1,7,10,1,10,3.97727272727273,4,"Yerevan, Yerevan*, Armenia","AM","AM11",40.1811,44.5136,-2325645,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"21305",224682178,20121201,201212,2012,2012.9068,"EUR","EUROPEAN","EUR",NA,NA,NA,NA,NA,NA,NA,"USAGOV","UNITED STATES","USA",NA,NA,NA,NA,"GOV",NA,NA,0,"050","050","05",1,3.5,10,5,10,1.44182252739351,1,"Russia","RS","RS",60,100,0,2,"Georgia, United States","US","USGA",0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"22976",224683849,20121201,201212,2012,2012.9068,"GEOGOV","VANO MERABISHVILI","GEO",NA,NA,NA,NA,"GOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"040","040","04",1,1,2,1,2,1.34831460674157,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,0,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"22978",224683851,20121201,201212,2012,2012.9068,"GEOGOV","VANO MERABISHVILI","GEO",NA,NA,NA,NA,"GOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"040","040","04",1,1,1,1,1,1.3550135501355,2,"Georgia, United States","US","USGA",0,0,0,0,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
