"GLOBALEVENTID" "SQLDATE" "MonthYear" "Year" "FractionDate" "Actor1Code" "Actor1Name" "Actor1CountryCode" "Actor1KnownGroupCode" "Actor1EthnicCode" "Actor1Religion1Code" "Actor1Religion2Code" "Actor1Type1Code" "Actor1Type2Code" "Actor1Type3Code" "Actor2Code" "Actor2Name" "Actor2CountryCode" "Actor2KnownGroupCode" "Actor2EthnicCode" "Actor2Religion1Code" "Actor2Religion2Code" "Actor2Type1Code" "Actor2Type2Code" "Actor2Type3Code" "IsRootEvent" "EventCode" "EventBaseCode" "EventRootCode" "QuadClass" "GoldsteinScale" "NumMentions" "NumSources" "NumArticles" "AvgTone" "Actor1Geo_Type" "Actor1Geo_FullName" "Actor1Geo_CountryCode" "Actor1Geo_ADM1Code" "Actor1Geo_Lat" "Actor1Geo_Long" "Actor1Geo_FeatureID" "Actor2Geo_Type" "Actor2Geo_FullName" "Actor2Geo_CountryCode" "Actor2Geo_ADM1Code" "Actor2Geo_Lat" "Actor2Geo_Long" "Actor2Geo_FeatureID" "ActionGeo_Type" "ActionGeo_FullName" "ActionGeo_CountryCode" "ActionGeo_ADM1Code" "ActionGeo_Lat" "ActionGeo_Long" "ActionGeo_FeatureID" "DATEADDED" "SOURCEURL"
"13432" 254468505 20130501 201305 2013 2013.3315 "GOV" "SECRETARY OF STATE" NA NA NA NA NA "GOV" NA NA " " NA NA NA NA NA NA NA NA NA 1 "051" "051" "05" 1 3.4 3 1 3 5.05836575875486 1 "Georgia" "GG" "GG" 42 43.5 NA 0 NA NA NA NA NA NA 1 "Georgia" "GG" "GG" 42 43.5 NA 20130501 "http://www.google.com/hostednews/afp/article/ALeqM5g_UoZL952tNL5ZgP7ZTHKhvtxuDQ?docId=CNG.2537da84c5686c0f757b07cff09194dc.741"
"13618" 254468691 20130501 201305 2013 2013.3315 "GOV" "PRIME MINISTER" NA NA NA NA NA "GOV" NA NA " " NA NA NA NA NA NA NA NA NA 0 "112" "112" "11" 3 -2 6 1 6 5.05836575875486 1 "Georgia" "GG" "GG" 42 43.5 NA 0 NA NA NA NA NA NA 1 "Georgia" "GG" "GG" 42 43.5 NA 20130501 "http://www.google.com/hostednews/afp/article/ALeqM5g_UoZL952tNL5ZgP7ZTHKhvtxuDQ?docId=CNG.2537da84c5686c0f757b07cff09194dc.741"
"13619" 254468692 20130501 201305 2013 2013.3315 "GOV" "PRIME MINISTER" NA NA NA NA NA "GOV" NA NA " " NA NA NA NA NA NA NA NA NA 0 "112" "112" "11" 3 -2 2 1 2 5.05836575875486 1 "Russia" "RS" "RS" 60 100 NA 0 NA NA NA NA NA NA 1 "Georgia" "GG" "GG" 42 43.5 NA 20130501 "http://www.google.com/hostednews/afp/article/ALeqM5g_UoZL952tNL5ZgP7ZTHKhvtxuDQ?docId=CNG.2537da84c5686c0f757b07cff09194dc.741"
"13675" 254468748 20130501 201305 2013 2013.3315 "GOV" "GOVERNMENT" NA NA NA NA NA "GOV" NA NA " " NA NA NA NA NA NA NA NA NA 0 "141" "141" "14" 3 -6.5 3 1 3 5.05836575875486 1 "Georgia" "GG" "GG" 42 43.5 NA 0 NA NA NA NA NA NA 1 "Georgia" "GG" "GG" 42 43.5 NA 20130501 "http://www.google.com/hostednews/afp/article/ALeqM5g_UoZL952tNL5ZgP7ZTHKhvtxuDQ?docId=CNG.2537da84c5686c0f757b07cff09194dc.741"
"14194" 254469267 20130501 201305 2013 2013.3315 "GOV" "SECRETARY OF STATE" NA NA NA NA NA "GOV" NA NA " GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA 1 "040" "040" "04" 1 1 2 1 2 5.05836575875486 1 "Georgia" "GG" "GG" 42 43.5 NA 1 "Georgia" "GG" "GG" 42 43.5 NA 1 "Georgia" "GG" "GG" 42 43.5 NA 20130501 "http://www.google.com/hostednews/afp/article/ALeqM5g_UoZL952tNL5ZgP7ZTHKhvtxuDQ?docId=CNG.2537da84c5686c0f757b07cff09194dc.741"
"14195" 254469268 20130501 201305 2013 2013.3315 "GOV" "SECRETARY OF STATE" NA NA NA NA NA "GOV" NA NA " GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA 1 "051" "051" "05" 1 3.4 1 1 1 5.05836575875486 1 "Georgia" "GG" "GG" 42 43.5 NA 2 "Georgia, United States" "US" "USGA" 0 0 NA 1 "Georgia" "GG" "GG" 42 43.5 NA 20130501 "http://www.google.com/hostednews/afp/article/ALeqM5g_UoZL952tNL5ZgP7ZTHKhvtxuDQ?docId=CNG.2537da84c5686c0f757b07cff09194dc.741"
"14196" 254469269 20130501 201305 2013 2013.3315 "GOV" "SECRETARY OF STATE" NA NA NA NA NA "GOV" NA NA " GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA 1 "051" "051" "05" 1 3.4 5 1 5 5.05836575875486 1 "Georgia" "GG" "GG" 42 43.5 NA 1 "Georgia" "GG" "GG" 42 43.5 NA 1 "Georgia" "GG" "GG" 42 43.5 NA 20130501 "http://www.google.com/hostednews/afp/article/ALeqM5g_UoZL952tNL5ZgP7ZTHKhvtxuDQ?docId=CNG.2537da84c5686c0f757b07cff09194dc.741"
"14248" 254469321 20130501 201305 2013 2013.3315 "GOV" "PRIME MINISTER" NA NA NA NA NA "GOV" NA NA " IGOEURSCE" "OSCE" "EUR" "SCE" NA NA NA "IGO" NA NA 1 "036" "036" "03" 1 4 4 1 4 0.840336134453782 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 2 "Pennsylvania, United States" "US" "USPA" 40.5773 -77.264 NA 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145610.html"
"14436" 254469509 20130501 201305 2013 2013.3315 "GOV" "FOREIGN MINIST " NA NA NA NA NA "GOV" NA NA " LEG" "REPRESENTATIVES" NA NA NA NA NA "LEG" NA NA 1 "040" "040" "04" 1 1 10 1 10 0.840336134453782 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145610.html"
"14437" 254469510 20130501 201305 2013 2013.3315 "GOV" "STATE MINIST " NA NA NA NA NA "GOV" NA NA " LEG" "REPRESENTATIVES" NA NA NA NA NA "LEG" NA NA 1 "040" "040" "04" 1 1 1 1 1 0.840336134453782 2 "Georgia, United States" "US" "USGA" 40.5773 -77.264 NA 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145610.html"
