"GLOBALEVENTID" "SQLDATE" "MonthYear" "Year" "FractionDate" "Actor1Code" "Actor1Name" "Actor1CountryCode" "Actor1KnownGroupCode" "Actor1EthnicCode" "Actor1Religion1Code" "Actor1Religion2Code" "Actor1Type1Code" "Actor1Type2Code" "Actor1Type3Code" "Actor2Code" "Actor2Name" "Actor2CountryCode" "Actor2KnownGroupCode" "Actor2EthnicCode" "Actor2Religion1Code" "Actor2Religion2Code" "Actor2Type1Code" "Actor2Type2Code" "Actor2Type3Code" "IsRootEvent" "EventCode" "EventBaseCode" "EventRootCode" "QuadClass" "GoldsteinScale" "NumMentions" "NumSources" "NumArticles" "AvgTone" "Actor1Geo_Type" "Actor1Geo_FullName" "Actor1Geo_CountryCode" "Actor1Geo_ADM1Code" "Actor1Geo_Lat" "Actor1Geo_Long" "Actor1Geo_FeatureID" "Actor2Geo_Type" "Actor2Geo_FullName" "Actor2Geo_CountryCode" "Actor2Geo_ADM1Code" "Actor2Geo_Lat" "Actor2Geo_Long" "Actor2Geo_FeatureID" "ActionGeo_Type" "ActionGeo_FullName" "ActionGeo_CountryCode" "ActionGeo_ADM1Code" "ActionGeo_Lat" "ActionGeo_Long" "ActionGeo_FeatureID" "DATEADDED" "SOURCEURL"
"43410" 227153085 20130101 201301 2013 2013.0027 "USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA "CRM" "CRIMINAL" NA NA NA NA NA "CRM" NA NA 1 "090" "090" "09" 2 -2 4 2 4 5.18518518518519 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"49948" 227159623 20130102 201301 2013 2013.0055 NA NA NA NA NA NA NA NA NA NA "AFG" "AFGHANISTAN" "AFG" NA NA NA NA NA NA NA 1 "190" "190" "19" 4 -10 2 1 2 2.8 NA NA NA NA 0 0 0 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"49951" 227159626 20130102 201301 2013 2013.0055 NA NA NA NA NA NA NA NA NA NA "AFG" "AFGHANISTAN" "AFG" NA NA NA NA NA NA NA 1 "190" "190" "19" 4 -10 2 1 2 2.8 NA NA NA NA 0 0 0 4 "Kabul, Kabol, Afghanistan" "AF" "AF13" 34.5167 69.1833 -3378435 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"58915" 227168590 20130102 201301 2013 2013.0055 "AFG" "AFGHANISTAN" "AFG" NA NA NA NA NA NA NA "GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA 1 "190" "190" "19" 4 -10 2 1 2 2.8 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"77539" 227187214 20130102 201301 2013 2013.0055 "GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA NA NA NA NA NA NA NA NA NA NA 1 "010" "010" "01" 1 0 4 1 4 2.85714285714286 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 0 NA NA NA 0 0 0 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"77540" 227187215 20130102 201301 2013 2013.0055 "GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA NA NA NA NA NA NA NA NA NA NA 1 "020" "020" "02" 1 3 4 1 4 2.85714285714286 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 0 NA NA NA 0 0 0 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"77541" 227187216 20130102 201301 2013 2013.0055 "GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA "AFG" "AFGHANISTAN" "AFG" NA NA NA NA NA NA NA 1 "0234" "023" "02" 1 3.4 1 1 1 2.8 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"77542" 227187217 20130102 201301 2013 2013.0055 "GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA "AFG" "AFGHANISTAN" "AFG" NA NA NA NA NA NA NA 1 "0234" "023" "02" 1 3.4 3 1 3 2.8 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 5 "Helmand, Helmand, Afghanistan" "AF" "AF10" 31 64 -3377342 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"77809" 227187484 20130102 201301 2013 2013.0055 "GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA NA NA NA NA NA NA NA NA NA NA 1 "010" "010" "01" 1 0 4 1 4 2.85714285714286 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 0 NA NA NA 0 0 0 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"78147" 227187822 20130102 201301 2013 2013.0055 "GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA NA NA NA NA NA NA NA NA NA NA 1 "020" "020" "02" 1 3 2 1 2 2.85714285714286 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 0 NA NA NA 0 0 0 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"78225" 227187900 20130102 201301 2013 2013.0055 "GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA NA NA NA NA NA NA NA NA NA NA 1 "020" "020" "02" 1 3 2 1 2 2.85714285714286 2 "Georgia, United States" "US" "USGA" 0 0 0 0 NA NA NA 0 0 0 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"81094" 227190769 20130102 201301 2013 2013.0055 "GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA "MIL" "SERVICEMEN" NA NA NA NA NA "MIL" NA NA 1 "020" "020" "02" 1 3 2 1 2 2.8 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
